Model,Preindustrial_AMOC,\beta^*,\beta_\text{sat},\beta_\text{dis},\beta_\text{reg}
ACCESS-ESM1.5,22.24,0.241,0.723,-0.482,0.000
CanESM5,13.16,0.192,0.763,-0.571,0.000
CanESM5-CanOE,12.23,0.178,0.721,-0.542,0.000
CNRM-ESM2-1,16.41,0.210,0.741,-0.543,0.012
GFDL-ESM4,21.74,0.257,0.756,-0.513,0.014
IPSL-CM6A-LR,11.32,0.192,0.731,-0.539,0.000
MIROC-ES2L,14.58,0.196,0.744,-0.549,0.001
MPI-ESM1.2-LR,22.36,0.211,0.730,-0.519,0.000
MRI-ESM2,22.50,0.258,0.743,-0.485,0.000
NorESM2-LM,23.18,0.236,0.751,-0.515,0.000
UKESM1-0-LL,15.61,0.203,0.725,-0.526,0.004
Mean,17.76,0.216,0.739,-0.526,0.003
SD,4.68,0.028,0.014,0.027,0.005
CV,0.26,0.130,0.019,0.051,1.667